election_date,election_year,election_month,election_day,prop_letter_or_num,prop_title,num_yes_votes,num_no_votes,pct_yes_votes,pct_no_votes,pct_required_to_pass,pass_or_fail,raw_source_of_prop,source_of_prop,prop_kind,description,prop_url
11/3/1981,1981,11,3,J,"Sheriff Authority to Appoint, Remove Assistant Sheriff",54761,34395,61.42,38.58,50%+1,P,Supervisors,supervisors,Charter Amendment,Shall the Sheriff have the power to appoint and remove one assistant sheriff?,https://sfpl.org/index.php?pg=2000027201&propid=1233
11/3/1981,1981,11,3,K,Tax Rate Computation to Conform with State Formula,60387,27244,68.91,31.09,50%+1,P,Supervisors,supervisors,Charter Amendment,Shall all Charter references to a 25% property tax assessed value be changed to 100% assessed value to conform to a change in State law?,https://sfpl.org/index.php?pg=2000027201&propid=1234
11/3/1981,1981,11,3,L,"Change Purchasing Limit from $2,000 to $15,000",54420,33963,61.57,38.43,50%+1,P,Supervisors,supervisors,Charter Amendment,"Shall all contracts, purchase order, expenditures for public works, and bids for public works be increased from two thousand dollars to fifteen thousand dollars before requiring approval of the Chief Administrative Officer?",https://sfpl.org/index.php?pg=2000027201&propid=1235
11/3/1981,1981,11,3,M,Construction Contracts; Approval of Modifications,56195,31693,63.94,36.06,50%+1,P,Supervisors,supervisors,Charter Amendment,Shall authority be delegated to department heads to approve modifications to city contracts and allow work days to exceed eight hours in city public work contracts?,https://sfpl.org/index.php?pg=2000027201&propid=1236
11/3/1981,1981,11,3,N,Closed Negotiation Sessions by Committee,20674,68863,23.09,76.91,50%+1,F,Supervisors,supervisors,Charter Amendment,"Shall committees of boards and commissions be allowed to have closed sessions with labor representatives regarding wages, hours and conditions of employment?",https://sfpl.org/index.php?pg=2000027201&propid=1237
11/3/1981,1981,11,3,O,Board Presidency Term to Coincide with Supervisorial Terms,33825,54913,38.12,61.88,50%+1,F,Supervisors,supervisors,Charter Amendment,"Shall the supervisors elect a member as president of the Board on January 8, 1982 for a one-year term and elect a member for a two-year term in January 1983 and every second year thereafter?",https://sfpl.org/index.php?pg=2000027201&propid=1238
11/3/1981,1981,11,3,P,Repeal Taxicab Initiative Ordinance,20434,70934,22.36,77.64,50%+1,F,Supervisors,supervisors,Ordinance,"Shall the initiative ordinance regulating motor vehicles for hire including taxicabs be repealed as of June 1, 1982 and authority given to the Board of Supervisors to regulate same by ordinance?",https://sfpl.org/index.php?pg=2000027201&propid=1239
11/3/1981,1981,11,3,Q,"Salary Dispute, Electricians",16829,70,19.18,80.82,50%+1,F,Supervisors,supervisors,Ordinance,"Shall a schedule of compensation based upon the last demand of employees represented by the International Brotherhood of Electrical Workers, Local 6, be approved?",https://sfpl.org/index.php?pg=2000027201&propid=1240
6/8/1982,1982,6,8,A,Tax Anticipation Notes by State Law or Ordinance,91984,49866,64.85,35.15,50%+1,P,Supervisors,supervisors,Charter Amendment,Shall the Board of Supervisors have the power to borrow money by the issuance of tax anticipation notes in the manner provided by state law or pursuant to ordinance of the Board of Supervisors?,https://sfpl.org/index.php?pg=2000027201&propid=1241
6/8/1982,1982,6,8,B,"Mail-In Ballots, Municipal Elections",43614,103815,29.58,70.42,50%+1,F,Supervisors,supervisors,Charter Amendment,"Shall the Board of Supervisors be allowed to direct the Registrar to conduct by mail any general, runoff or special municipal election?",https://sfpl.org/index.php?pg=2000027201&propid=1242
6/8/1982,1982,6,8,C,Employee Dental Plan,60222,88348,40.53,59.47,50%+1,F,Supervisors,supervisors,Charter Amendment,Shall the city contribute to a dental plan for city employees which would be the average contribution of the ten counties in the state having the largest population?,https://sfpl.org/index.php?pg=2000027201&propid=1243
